word,definition,set 
drab,to be dull or cheerless,15
draft,"the initial or preliminary version of a drawing, document or design",15
drench,to wet thoroughly,15
dwindle,to become smaller and smaller,15
earnest,"serious in intention, purpose, or effort",15
ebb,"to flow back or away, as the water of a tide",15
economy,"frugality in the expenditure or consumption of money, materials, etc",15
eerie,"uncanny, so as to inspire superstitious fear",15
effervescent,(of a liquid) giving off bubbles or gas,15
elegant,"tastefully fine or luxurious in dress, style, design, etc",15
eloquence,the practice or art of using language with fluency and aptness,15
embargo,an order of a government prohibiting trade or other commercial activity,15
